backbone,task,layer,bits,fold,metric,fp32,value,delta,quant_dir,sec
hubertL,er,14,2,5,ER_ERR,0.367446,0.37228,0.004835,quants_1024/GPTQ/quants_tc1024_er_fold5,17
hubertL,er,15,2,5,ER_ERR,0.367446,0.362611,-0.004835,quants_1024/GPTQ/quants_tc1024_er_fold5,18
hubertL,er,16,2,5,ER_ERR,0.367446,0.378727,0.011281,quants_1024/GPTQ/quants_tc1024_er_fold5,18
hubertL,er,17,2,5,ER_ERR,0.367446,0.362611,-0.004835,quants_1024/GPTQ/quants_tc1024_er_fold5,18
hubertL,er,18,2,5,ER_ERR,0.367446,0.380338,0.012893,quants_1024/GPTQ/quants_tc1024_er_fold5,18
hubertL,er,19,2,5,ER_ERR,0.367446,0.388396,0.020951,quants_1024/GPTQ/quants_tc1024_er_fold5,18
hubertL,er,20,2,5,ER_ERR,0.367446,0.357776,-0.00967,quants_1024/GPTQ/quants_tc1024_er_fold5,18
hubertL,er,21,2,5,ER_ERR,0.367446,0.37228,0.004835,quants_1024/GPTQ/quants_tc1024_er_fold5,18
hubertL,er,22,2,5,ER_ERR,0.367446,0.35697,-0.010475,quants_1024/GPTQ/quants_tc1024_er_fold5,18
hubertL,er,23,2,5,ER_ERR,0.367446,0.367446,0.0,quants_1024/GPTQ/quants_tc1024_er_fold5,18
hubertL,asv,0,2,0,EER,0.077413,0.076935,-0.000477,quants_1024/GPTQ/quants_tc1024_asv,93
hubertL,asv,1,2,0,EER,0.077413,0.077253,-0.000159,quants_1024/GPTQ/quants_tc1024_asv,92
hubertL,asv,2,2,0,EER,0.077413,0.079268,0.001856,quants_1024/GPTQ/quants_tc1024_asv,92
hubertL,asv,3,2,0,EER,0.077413,0.078526,0.001113,quants_1024/GPTQ/quants_tc1024_asv,93
hubertL,asv,4,2,0,EER,0.077413,0.08017,0.002757,quants_1024/GPTQ/quants_tc1024_asv,93
hubertL,asv,5,2,0,EER,0.077413,0.078897,0.001485,quants_1024/GPTQ/quants_tc1024_asv,93
hubertL,asv,6,2,0,EER,0.077413,0.078632,0.00122,quants_1024/GPTQ/quants_tc1024_asv,92
hubertL,asv,7,2,0,EER,0.077413,0.078155,0.000742,quants_1024/GPTQ/quants_tc1024_asv,93
